folder|name|url
日常/社交/L-GPT|L-GPT|https://gpt.ltopx.com/zh
日常/社交/libc database search|libc database search|https://libc.blukat.me/
日常/社交/Telegram channels and groups catalog / China|Telegram channels and groups catalog / China|https://cn.tgstat.com/
日常/社交/Telegraph：一个无需登录的简洁发布系统|Telegraph：一个无需登录的简洁发布系统|https://telegra.ph/
日常/社交/Color Hex Color Codes|Color Hex Color Codes|https://www.color-hex.com/
日常/社交/Twitter|Twitter|https://twitter.com/home
日常/社交/Mapbox Boundaries: administrative, legislative, & postal|Mapbox Boundaries: administrative, legislative, & postal|https://www.mapbox.com/boundaries
日常/社交/Mem: The self-organizing workspace|Mem: The self-organizing workspace|https://get.mem.ai/
日常/社交/微信文件传输助手网页版|微信文件传输助手网页版|https://filehelper.weixin.qq.com/
日常/社交/微信公众平台|微信公众平台|https://mp.weixin.qq.com/
日常/社交/Discord Developer Portal|Discord Developer Portal|https://discord.com/developers/applications
日常/社交/Privileged Gateway Intents|Privileged Gateway Intents|https://discord.com/developers/applications/1482783719793098792/information
日常/邮箱/163 网易免费邮 -- 中文邮箱第一品牌|163 网易免费邮 -- 中文邮箱第一品牌|https://mail.163.com/
日常/邮箱/Outlook|Outlook|https://outlook.live.com/mail/0/
日常/邮箱/QQ邮箱|QQ邮箱|https://wx.mail.qq.com/home/index?sid=zGZSb4yCeWMuGW5qAPVjdAAA#/list/1/1
日常/邮箱/网易云音乐|网易云音乐|https://music.163.com/?from=itab
日常/购物/鲸卫安全-加密转码工具|鲸卫安全-加密转码工具|https://aks.jd.com/tools/sec/
日常/购物/MIUI+|MIUI+|https://plus.miui.com/
日常/购物/MIUI 13 开始·连接万物|MIUI 13 开始·连接万物|https://home.miui.com/
日常/购物/锤子商城 - 坚果手机、坚果 R2 手机、Smartisan TNT go 扩展本|锤子商城 - 坚果手机、坚果 R2 手机、Smartisan TNT go 扩展本|https://www.smartisan.com/
日常/购物/华为手机 - 华为官网|华为手机 - 华为官网|https://consumer.huawei.com/cn/phones/?ic_medium=hwdc=corp_header_consumer
日常/购物/魅族官网 - 魅族 18X 手机：为热爱，敢直白|魅族官网 - 魅族 18X 手机：为热爱，敢直白|https://www.meizu.com/
日常/购物/小米商城 - Xiaomi 11 Ultra、Redmi K40 Pro、MIX FOLD，小米电视官方网站|小米商城 - Xiaomi 11 Ultra、Redmi K40 Pro、MIX FOLD，小米电视官方网站|https://www.mi.com/
日常/购物/一加手机官网 - 一加 10 Pro 10至 名归|一加手机官网 - 一加 10 Pro 10至 名归|https://www.oneplus.com/cn
日常/购物/一加手机氢OS/H2OS官方网站|一加手机氢OS/H2OS官方网站|https://www.h2os.com/
日常/购物/京东(JD.COM)-正品低价、品质保障、配送及时、轻松购物！|京东(JD.COM)-正品低价、品质保障、配送及时、轻松购物！|https://www.jd.com/
日常/购物/什么值得买|什么值得买|https://www.smzdm.com/
日常/购物/淘宝网 - 淘！我喜欢|淘宝网 - 淘！我喜欢|https://www.taobao.com/
日常/购物/天猫tmall.com--理想生活上天猫|天猫tmall.com--理想生活上天猫|https://www.tmall.com/
日常/购物/Pockyt Shop|Pockyt Shop|https://shop.pockyt.io/pc/home
日常/地图/sqlmap: automatic SQL injection and database takeover tool|sqlmap: automatic SQL injection and database takeover tool|https://sqlmap.org/
日常/地图/NB Map|NB Map|https://nbcharts.com/map/map.php
日常/地图/POI 数据|POI 数据|https://www.poi86.com/
日常/地图/百度地图|百度地图|https://map.baidu.com/@13322499,2982202,13z
日常/地图/百度地图 - 拾取坐标系统|百度地图 - 拾取坐标系统|http://api.map.baidu.com/lbsapi/getpoint/index.html
日常/地图/百度地图开放平台|百度地图开放平台|https://lbsyun.baidu.com/
日常/地图/高德地图|高德地图|https://ditu.amap.com/
日常/地图/高德地图 - API 坐标拾取|高德地图 - API 坐标拾取|https://lbs.amap.com/
日常/地图/腾讯地图|腾讯地图|https://map.qq.com/
日常/地图/腾讯位置服务 - 立足生态，连接未来|腾讯位置服务 - 立足生态，连接未来|https://lbs.qq.com/
日常/地图/腾讯位置服务 - 坐标拾取|腾讯位置服务 - 坐标拾取|https://lbs.qq.com/getPoint/
日常/地图/Meet the bright web|Meet the bright web|https://beamapp.co/
日常/地图/3d-mapper.com - Create your own 3d map online - 3d-mapper.com - Create custom 3D maps online|3d-mapper.com - Create your own 3d map online - 3d-mapper.com - Create custom 3D maps online|https://3d-mapper.com/
日常/地图/免费下载实时更新的geoJson数据、行政区划边界数据、区划边界坐标集合__HashTang|免费下载实时更新的geoJson数据、行政区划边界数据、区划边界坐标集合__HashTang|https://geojson.hxkj.vip/
日常/地图/微信小程序JavaScript SDK|微信小程序JavaScript SDK|https://lbs.qq.com/miniProgram/jsSdk/jsSdkGuide/methodDirection
日常/地图/坐标拾取器|坐标拾取器|https://lbs.amap.com/tools/picker
日常/影音/YouTube|YouTube|https://www.youtube.com/
日常/影音/蜜柑计划 - Mikan Project|蜜柑计划 - Mikan Project|https://mikanani.me/
日常/影音/Stanford CS193p - YouTube|Stanford CS193p - YouTube|https://www.youtube.com/@StanfordCS193p
日常/影音/cobalt 下载视频|cobalt 下载视频|https://cobalt.tools/
日常/影音/爱奇艺-在线视频网站-海量正版高清视频在线观看|爱奇艺-在线视频网站-海量正版高清视频在线观看|https://www.iqiyi.com/
日常/影音/哔哩哔哩 (゜-゜)つロ 干杯~-bilibili|哔哩哔哩 (゜-゜)つロ 干杯~-bilibili|https://www.bilibili.com/
日常/影音/腾讯视频 - 中国领先的在线视频媒体平台,海量高清视频在线观看|腾讯视频 - 中国领先的在线视频媒体平台,海量高清视频在线观看|https://v.qq.com/
日常/影音/优酷 - 你的热爱 正在热播|优酷 - 你的热爱 正在热播|https://www.youku.com/
日常/影音/爱看机器人-ikanbot.com|爱看机器人-ikanbot.com|https://v.ikanbot.com/
日常/音乐/QQ音乐-千万正版音乐海量无损曲库新歌热歌天天畅听的高品质音乐平台！|QQ音乐-千万正版音乐海量无损曲库新歌热歌天天畅听的高品质音乐平台！|https://y.qq.com/
日常/音乐/Spotify - Web Player: Music for everyone|Spotify - Web Player: Music for everyone|https://open.spotify.com/?
日常/音乐/编程音乐 freeCodeCamp.org Code Radio|编程音乐 freeCodeCamp.org Code Radio|https://coderadio.freecodecamp.org/
日常/音乐/编程音乐 musicForProgramming();|编程音乐 musicForProgramming();|https://musicforprogramming.net/latest/
日常/音乐/豆瓣FM|豆瓣FM|https://fm.douban.com/user-guide
日常/音乐/中文播客榜|中文播客榜|https://xyzrank.com/#/
日常/云盘/阿里云盘|阿里云盘|https://www.aliyundrive.com/drive
日常/云盘/百度网盘|百度网盘|https://pan.baidu.com/disk/main?from=homeFlow#/index?category=all
日常/云盘/坚果云 - 云盘|坚果云 - 云盘|https://www.jianguoyun.com/#/
日常/云盘/Pixcall - 本地优先的新一代同步网盘|Pixcall - 本地优先的新一代同步网盘|https://pixcall.com/
